onset	duration	trial_type	stim_id
9.5	0.5	Instruction	7
13	1	Obs_corr	7
16.5	0.5	Instruction	11
20	1	Obs_corr	11
24.5	0.5	Instruction	15
28	1	Obs_corr	15
31.5	0.5	Instruction	12
33	1	Obs_corr	12
35.5	0.5	Instruction	13
39	1	Obs_corr	13
42.5	0.5	Instruction	5
45	1	Obs_corr	5
48.5	0.5	Instruction	4
51	1	Obs_corr	4
55.5	0.5	Instruction	1
57	1	Obs_corr	1
61.5	0.5	Instruction	2
64	1	Obs_corr	2
68.5	0.5	Instruction	3
70	1	Obs_corr	3
72.5	0.5	Instruction	14
75	1	Obs_corr	14
77.5	0.5	Instruction	16
80	1	Obs_corr	16
82	3	Catch_trial	16
85.5	0.5	Instruction	10
88	1	Obs_corr	10
92.5	0.5	Instruction	8
94	1	Obs_corr	8
96.5	0.5	Instruction	9
99	1	Obs_corr	9
103.5	0.5	Instruction	6
107	1	Obs_corr	6
110.5	0.5	Instruction	11
112	1	Obs_corr	11
124.5	0.5	Instruction	1
127	1	Obs_err	1
131.5	0.5	Instruction	10
134	1	Obs_corr	10
136.5	0.5	Instruction	8
140	1	Obs_corr	8
142.5	0.5	Instruction	14
146	1	Obs_corr	14
150.5	0.5	Instruction	3
153	1	Obs_err	3
156.5	0.5	Instruction	13
158	1	Obs_corr	13
162	3	Catch_trial	13
165.5	0.5	Instruction	16
167	1	Obs_err	16
170	3	Catch_trial	16
180.5	0.5	Instruction	2
184	1	Obs_err	2
187.5	0.5	Instruction	9
189	1	Obs_err	9
191	3	Catch_trial	9
194.5	0.5	Instruction	5
198	1	Obs_err	5
202	3	Catch_trial	5
205.5	0.5	Instruction	12
209	1	Obs_corr	12
211	3	Catch_trial	12
214.5	0.5	Instruction	4
218	1	Obs_err	4
221.5	0.5	Instruction	7
224	1	Obs_err	7
228.5	0.5	Instruction	6
230	1	Obs_err	6
234.5	0.5	Instruction	15
237	1	Obs_err	15
250.5	0.5	Instruction	8
252	1	Obs_err	8
256.5	0.5	Instruction	15
258	1	Obs_corr	15
260.5	0.5	Instruction	10
262	1	Obs_err	10
264.5	0.5	Instruction	5
266	1	Obs_corr	5
268.5	0.5	Instruction	6
272	1	Obs_corr	6
275.5	0.5	Instruction	14
279	1	Obs_err	14
281.5	0.5	Instruction	9
285	1	Obs_corr	9
288.5	0.5	Instruction	13
291	1	Obs_err	13
294.5	0.5	Instruction	4
297	1	Obs_corr	4
300.5	0.5	Instruction	1
303	1	Obs_corr	1
307.5	0.5	Instruction	16
309	1	Obs_corr	16
312.5	0.5	Instruction	12
316	1	Obs_err	12
320.5	0.5	Instruction	3
323	1	Obs_corr	3
327.5	0.5	Instruction	2
331	1	Obs_corr	2
333.5	0.5	Instruction	7
335	1	Obs_corr	7
338	3	Catch_trial	7
341.5	0.5	Instruction	11
343	1	Obs_err	11
173	7	Change_rule	0
114	10	Baseline	0
239	11	Baseline	0
346	12	Baseline	0
