onset	duration	trial_type	stim_id
9	0.5	Instruction	16
12	0	Error	16
15	0.5	Instruction	8
16.8	0	Correct	8
21	0.5	Instruction	11
24.9	0	Correct	11
27	0.5	Instruction	3
28.8	0	Correct	3
32	0.5	Instruction	13
33.9	0	Error	13
36	0.5	Instruction	4
37.8	0	Correct	4
40	0.5	Instruction	12
41.8	0	Correct	12
46	0.5	Instruction	1
49.8	0	Correct	1
54	0.5	Instruction	14
57.8	0	Correct	14
61	0.5	Instruction	6
62.8	0	Correct	6
67	0.5	Instruction	10
69.9	0	Correct	10
73	0.5	Instruction	15
76.8	0	Correct	15
79	0.5	Instruction	9
81	0	Correct	9
83	0.5	Instruction	2
85.9	0	Correct	2
89	0.5	Instruction	5
91.8	0	Correct	5
106	0.5	Instruction	7
109.9	0	Correct	7
114	0.5	Instruction	14
115.9	0	Correct	14
119	0.5	Instruction	3
122.9	0	Correct	3
125	0.5	Instruction	9
127.8	0	Correct	9
132	0.5	Instruction	10
133.9	0	Correct	10
136	0.5	Instruction	4
139.8	0	Correct	4
143	0.5	Instruction	5
146.8	0	Correct	5
149	0.5	Instruction	12
151.8	0	Correct	12
156	0.5	Instruction	16
158.1	0	Correct	16
169	0.5	Instruction	15
170.9	0	Correct	15
173	0.5	Instruction	6
174.9	0	Correct	6
179	0.5	Instruction	7
181.9	0	Correct	7
185	0.5	Instruction	8
187.8	0	Correct	8
190	0.5	Instruction	1
192.9	0	Correct	1
195	0.5	Instruction	2
197.8	0	Correct	2
201	0.5	Instruction	13
203.3	0	Error	13
206	0.5	Instruction	11
210	0	Correct	11
224	0.5	Instruction	2
227.8	0	Correct	2
231.1	0.5	Instruction	5
234.8	0	Correct	5
238.1	0.5	Instruction	10
240.9	0	Correct	10
244.1	0.5	Instruction	15
246.9	0	Correct	15
250.1	0.5	Instruction	12
252.2	0	Correct	12
255.1	0.5	Instruction	16
257.8	0	Correct	16
262.1	0.5	Instruction	8
264.1	0	Correct	8
268.1	0.5	Instruction	13
271.8	0	Correct	13
274.1	0.5	Instruction	3
276.8	0	Correct	3
281.1	0.5	Instruction	4
283.8	0	Correct	4
288.1	0.5	Instruction	11
291.9	0	Correct	11
295.1	0.5	Instruction	9
298.9	0	Correct	9
301.1	0.5	Instruction	14
303.9	0	Correct	14
308.1	0.5	Instruction	7
310.9	0	Correct	7
314.1	0.5	Instruction	6
317.9	0	Correct	6
320.1	0.5	Instruction	1
323.9	0	Correct	1
161.5	7	Change_rule	0
93.5	12	Baseline	0
213.5	10	Baseline	0
325.6	11	Baseline	0
