onset	duration	trial_type	stim_id
9.5	0.5	Instruction	9
12	1	Obs_corr	9
16	3	Catch_trial	9
19.5	0.5	Instruction	2
21	1	Obs_corr	2
25.5	0.5	Instruction	10
27	1	Obs_corr	10
29	3	Catch_trial	10
32.5	0.5	Instruction	5
34	1	Obs_err	5
37.5	0.5	Instruction	15
39	1	Obs_corr	15
43.5	0.5	Instruction	14
45	1	Obs_err	14
48.5	0.5	Instruction	4
51	1	Obs_corr	4
53.5	0.5	Instruction	1
56	1	Obs_corr	1
60	3	Catch_trial	1
63.5	0.5	Instruction	16
65	1	Obs_corr	16
69.5	0.5	Instruction	12
72	1	Obs_err	12
75.5	0.5	Instruction	3
79	1	Obs_err	3
81.5	0.5	Instruction	11
83	1	Obs_err	11
85.5	0.5	Instruction	7
88	1	Obs_corr	7
90.5	0.5	Instruction	13
93	1	Obs_corr	13
95.5	0.5	Instruction	8
98	1	Obs_err	8
112.5	0.5	Instruction	6
114	1	Obs_corr	6
118.5	0.5	Instruction	13
122	1	Obs_err	13
126.5	0.5	Instruction	14
130	1	Obs_corr	14
134.5	0.5	Instruction	15
138	1	Obs_corr	15
141.5	0.5	Instruction	16
144	1	Obs_err	16
146.5	0.5	Instruction	4
150	1	Obs_corr	4
154	3	Catch_trial	4
157.5	0.5	Instruction	6
161	1	Obs_err	6
164.5	0.5	Instruction	3
168	1	Obs_corr	3
171.5	0.5	Instruction	7
174	1	Obs_corr	7
185.5	0.5	Instruction	2
189	1	Obs_corr	2
192.5	0.5	Instruction	5
196	1	Obs_corr	5
199.5	0.5	Instruction	12
201	1	Obs_corr	12
203	3	Catch_trial	12
206.5	0.5	Instruction	9
208	1	Obs_corr	9
211.5	0.5	Instruction	1
213	1	Obs_corr	1
215.5	0.5	Instruction	8
218	1	Obs_corr	8
222	3	Catch_trial	8
225.5	0.5	Instruction	10
229	1	Obs_corr	10
231.5	0.5	Instruction	11
234	1	Obs_corr	11
248.5	0.5	Instruction	1
250	1	Obs_err	1
252.5	0.5	Instruction	10
255	1	Obs_err	10
257.5	0.5	Instruction	6
261	1	Obs_corr	6
263.5	0.5	Instruction	7
266	1	Obs_err	7
269.5	0.5	Instruction	9
273	1	Obs_err	9
276	3	Catch_trial	9
279.5	0.5	Instruction	3
283	1	Obs_corr	3
285	3	Catch_trial	3
288.5	0.5	Instruction	13
290	1	Obs_corr	13
292.5	0.5	Instruction	2
294	1	Obs_err	2
298.5	0.5	Instruction	16
300	1	Obs_corr	16
304.5	0.5	Instruction	11
307	1	Obs_corr	11
310.5	0.5	Instruction	4
314	1	Obs_err	4
318.5	0.5	Instruction	15
320	1	Obs_err	15
324.5	0.5	Instruction	14
328	1	Obs_corr	14
331.5	0.5	Instruction	12
335	1	Obs_corr	12
338.5	0.5	Instruction	8
341	1	Obs_corr	8
343.5	0.5	Instruction	5
346	1	Obs_corr	5
178	7	Change_rule	0
101	11	Baseline	0
238	10	Baseline	0
349	12	Baseline	0
