onset	duration	trial_type	stim_id
9	0.5	Instruction	1
10.9	0	Correct	1
14	0.5	Instruction	12
16.8	0	Correct	12
21	0.5	Instruction	7
23.8	0	Correct	7
27	0.5	Instruction	14
29.7	0	Error	14
33	0.5	Instruction	6
34.8	0	Correct	6
37	0.5	Instruction	15
39	0	Error	15
41	0.5	Instruction	4
44.8	0	Correct	4
49	0.5	Instruction	13
51.8	0	Correct	13
54	0.5	Instruction	2
56.8	0	Correct	2
60	0.5	Instruction	8
62.5	0	Correct	8
66	0.5	Instruction	5
67.9	0	Correct	5
72	0.5	Instruction	9
75	0	Error	9
78	0.5	Instruction	11
81.8	0	Correct	11
85	0.5	Instruction	3
87.2	0	Error	3
91	0.5	Instruction	10
94.9	0	Correct	10
110	0.5	Instruction	16
113.8	0	Correct	16
116	0.5	Instruction	6
118.9	0	Correct	6
123	0.5	Instruction	10
125.9	0	Error	10
128	0.5	Instruction	4
131.8	0	Correct	4
134	0.5	Instruction	11
137.9	0	Correct	11
140	0.5	Instruction	12
142.9	0	Correct	12
145	0.5	Instruction	13
147.1	0	Correct	13
151	0.5	Instruction	1
154.9	0	Correct	1
159	0.5	Instruction	15
161.7	0	Error	15
172	0.5	Instruction	9
175	0	Error	9
177	0.5	Instruction	8
178.9	0	Correct	8
183	0.5	Instruction	7
185.9	0	Correct	7
189	0.5	Instruction	2
190.9	0	Correct	2
194	0.5	Instruction	16
196.5	0	Correct	16
199	0.5	Instruction	3
202.9	0	Correct	3
206	0.5	Instruction	14
209.9	0	Correct	14
212	0.5	Instruction	5
215.8	0	Correct	5
228	0.5	Instruction	3
230.2	0	Correct	3
233	0.5	Instruction	13
236.9	0	Correct	13
240	0.5	Instruction	12
242.3	0	Correct	12
244	0.5	Instruction	16
246.9	0	Correct	16
249	0.5	Instruction	15
251.9	0	Correct	15
255	0.5	Instruction	8
257.9	0	Correct	8
261	0.5	Instruction	5
264.9	0	Correct	5
269	0.5	Instruction	10
271.1	0	Correct	10
273	0.5	Instruction	6
274.9	0	Correct	6
279	0.5	Instruction	1
281.9	0	Correct	1
286	0.5	Instruction	4
290	0	Correct	4
292	0.5	Instruction	9
295.9	0	Correct	9
298	0.5	Instruction	7
300.9	0	Correct	7
304.1	0.5	Instruction	11
307.1	0	Correct	11
310.1	0.5	Instruction	2
314	0	Correct	2
318.1	0.5	Instruction	14
321.1	0	Correct	14
164.5	7	Change_rule	0
98.5	11	Baseline	0
217.5	10	Baseline	0
324.6	12	Baseline	0
