onset	duration	trial_type	stimulus_type
9	0.5	Instruction	16
11.1	0	Correct	16
15	0.5	Instruction	8
16.9	0	Correct	8
21	0.5	Instruction	11
24.9	0	Correct	11
27	0.5	Instruction	3
29	0	Correct	3
32	0.5	Instruction	13
34	0	Correct	13
36	0.5	Instruction	4
38.2	0	Error	4
40	0.5	Instruction	12
42.3	0	Error	12
46	0.5	Instruction	1
49.8	0	Correct	1
54	0.5	Instruction	14
57.9	0	Error	14
61	0.5	Instruction	6
63	0	Correct	6
67	0.5	Instruction	10
69.9	0	Error	10
73	0.5	Instruction	15
77	0	Correct	15
79	0.5	Instruction	9
81.2	0	Error	9
83	0.5	Instruction	2
86.1	0	Correct	2
89	0.5	Instruction	5
92.1	0	Correct	5
106	0.5	Instruction	7
110	0	Correct	7
114	0.5	Instruction	14
116.4	0	Error	14
119	0.5	Instruction	3
123	0	Correct	3
125	0.5	Instruction	9
128	0	Error	9
132	0.5	Instruction	10
134.2	0	Correct	10
136	0.5	Instruction	4
140	0	Correct	4
143	0.5	Instruction	5
147	0	Correct	5
149	0.5	Instruction	12
152.2	0	Correct	12
156	0.5	Instruction	16
158.5	0	Error	16
169	0.5	Instruction	15
171.2	0	Correct	15
173	0.5	Instruction	6
175	0	Correct	6
179	0.5	Instruction	7
182	0	Correct	7
185	0.5	Instruction	8
187.9	0	Correct	8
190	0.5	Instruction	1
192.9	0	Correct	1
195	0.5	Instruction	2
197.8	0	Correct	2
201	0.5	Instruction	13
203	0	Correct	13
206	0.5	Instruction	11
210	0	Error	11
224	0.5	Instruction	2
228	0	Correct	2
231	0.5	Instruction	5
235	0	Correct	5
238	0.5	Instruction	10
240.9	0	Error	10
244	0.5	Instruction	15
246.9	0	Correct	15
250	0.5	Instruction	12
252.2	0	Correct	12
255	0.5	Instruction	16
258	0	Correct	16
262	0.5	Instruction	8
264.1	0	Correct	8
268.1	0.5	Instruction	13
271.9	0	Correct	13
274.1	0.5	Instruction	3
277.2	0	Correct	3
281.1	0.5	Instruction	4
283.9	0	Correct	4
288.1	0.5	Instruction	11
292	0	Correct	11
295.1	0.5	Instruction	9
298.9	0	Correct	9
301.1	0.5	Instruction	14
304.4	0	Correct	14
308.1	0.5	Instruction	7
311	0	Correct	7
314.1	0.5	Instruction	6
318	0	Correct	6
320.1	0.5	Instruction	1
324.1	0	Correct	1
161.5	7	Change_rule	0
93.5	12	Baseline	0
213.5	10	Baseline	0
325.6	11	Baseline	0
