onset	duration	trial_type	stim_id
9.5	0.5	Instruction	14
13.4	0	Error_f	14
16.5	0.5	Fdbck_err	14
18.5	0.5	Instruction	12
20.9	0	Correct_f	12
22.5	0.5	Fdbck_corr	12
24.5	0.5	Instruction	16
27.4	0	Correct_f	16
31.5	0.5	Fdbck_corr	16
33.5	0.5	Instruction	3
37.3	0	Correct_f	3
39.5	0.5	Fdbck_corr	3
42.5	0.5	Instruction	8
46.5	0	Correct_f	8
48.5	0.5	Fdbck_corr	8
52.5	0.5	Instruction	4
55.6	0	Correct_f	4
59.5	0.5	Fdbck_corr	4
61.5	0.5	Instruction	15
65.4	0	Correct_f	15
68.5	0.5	Fdbck_corr	15
72.5	0.5	Instruction	11
76.4	0	Correct_f	11
79.5	0.5	Fdbck_corr	11
83.5	0.5	Instruction	5
87.4	0	Correct_f	5
91.5	0.5	Fdbck_corr	5
93.5	0.5	Instruction	7
95.7	0	Correct_f	7
99.5	0.5	Fdbck_corr	7
103.5	0.5	Instruction	9
105.7	0	Correct_f	9
108.5	0.5	Fdbck_corr	9
110.5	0.5	Instruction	1
114.6	0	Correct_f	1
116.5	0.5	Fdbck_corr	1
119.5	0.5	Instruction	10
122.4	0	Correct_f	10
125.5	0.5	Fdbck_corr	10
128.5	0.5	Instruction	6
130.4	0	Correct_f	6
134.5	0.5	Fdbck_corr	6
137.5	0.5	Instruction	13
140.4	0	Correct_f	13
143.5	0.5	Fdbck_corr	13
147.5	0.5	Instruction	2
151.4	0	Correct_f	2
153.5	0.5	Fdbck_corr	2
156.5	0.5	Instruction	10
159.4	0	Correct_f	10
162.5	0.5	Fdbck_corr	10
177.5	0.5	Instruction	3
179.4	0	Correct_f	3
182.5	0.5	Fdbck_corr	3
185.5	0.5	Instruction	7
189.4	0	Correct_f	7
192.5	0.5	Fdbck_corr	7
194.5	0.5	Instruction	8
198.3	0	Correct_f	8
200.5	0.5	Fdbck_corr	8
204.5	0.5	Instruction	16
207.4	0	Correct_f	16
211.5	0.5	Fdbck_corr	16
215.5	0.5	Instruction	6
217.4	0	Correct_f	6
220.5	0.5	Fdbck_corr	6
222.5	0.5	Instruction	1
226.4	0	Correct_f	1
230.5	0.5	Fdbck_corr	1
232.5	0.5	Instruction	15
235.1	0	Error_f	15
236.5	0.5	Fdbck_err	15
247.5	0.5	Instruction	12
250.4	0	Correct_f	12
253.5	0.5	Fdbck_corr	12
257.5	0.5	Instruction	11
261.4	0	Correct_f	11
265.5	0.5	Fdbck_corr	11
268.5	0.5	Instruction	5
270.4	0	Correct_f	5
274.5	0.5	Fdbck_corr	5
278.5	0.5	Instruction	13
281.4	0	Correct_f	13
283.5	0.5	Fdbck_corr	13
285.5	0.5	Instruction	9
287.7	0	Correct_f	9
291.5	0.5	Fdbck_corr	9
294.5	0.5	Instruction	2
298.4	0	Correct_f	2
302.5	0.5	Fdbck_corr	2
306.5	0.5	Instruction	4
309.1	0	Error_f	4
312.5	0.5	Fdbck_err	4
314.5	0.5	Instruction	14
318.5	0	Correct_f	14
322.5	0.5	Fdbck_corr	14
335.5	0.5	Instruction	15
338.3	0	Correct_f	15
341.5	0.5	Fdbck_corr	15
344.5	0.5	Instruction	4
346.6	0	Correct_f	4
350.5	0.5	Fdbck_corr	4
354.5	0.5	Instruction	6
357.4	0	Correct_f	6
361.5	0.5	Fdbck_corr	6
365.5	0.5	Instruction	13
368	0	Correct_f	13
371.5	0.5	Fdbck_corr	13
375.5	0.5	Instruction	9
378.4	0	Correct_f	9
380.5	0.5	Fdbck_corr	9
383.5	0.5	Instruction	8
385.9	0	Correct_f	8
387.5	0.5	Fdbck_corr	8
389.5	0.5	Instruction	3
392.6	0	Correct_f	3
394.5	0.5	Fdbck_corr	3
396.5	0.5	Instruction	11
400.4	0	Correct_f	11
402.5	0.5	Fdbck_corr	11
405.5	0.5	Instruction	7
408.3	0	Correct_f	7
411.5	0.5	Fdbck_corr	7
413.5	0.5	Instruction	5
415.8	0	Correct_f	5
417.5	0.5	Fdbck_corr	5
420.5	0.5	Instruction	14
422.6	0	Error_f	14
425.5	0.5	Fdbck_err	14
429.5	0.5	Instruction	10
432.4	0	Error_f	10
434.5	0.5	Fdbck_err	10
438.5	0.5	Instruction	12
441.4	0	Correct_f	12
443.5	0.5	Fdbck_corr	12
445.6	0.5	Instruction	16
449.3	0	Correct_f	16
452.6	0.5	Fdbck_corr	16
454.6	0.5	Instruction	2
457.4	0	Correct_f	2
459.6	0.5	Fdbck_corr	2
462.6	0.5	Instruction	1
465.4	0	Correct_f	1
467.6	0.5	Fdbck_corr	1
240	7	Change_rule	0
165	12	Baseline	0
325	10	Baseline	0
470.1	11	Baseline	0
