onset	duration	trial_type	stimulus_type
9	0.5	Instruction	13
12	0	Error	13
13	0.5	Instruction	4
16	0	Correct	4
18	0.5	Instruction	15
20.1	0	Error	15
24	0.5	Instruction	7
27.9	0	Correct	7
30	0.5	Instruction	8
33.9	0	Error	8
36	0.5	Instruction	14
39.8	0	Correct	14
44	0.5	Instruction	10
48.1	0	Error	10
51	0.5	Instruction	11
54.2	0	Error	11
56	0.5	Instruction	6
58.8	0	Error	6
61	0.5	Instruction	9
64	0	Error	9
68	0.5	Instruction	3
71	0	Error	3
75	0.5	Instruction	5
78.8	0	Correct	5
83	0.5	Instruction	1
85	0	Error	1
88	0.5	Instruction	2
90.7	0	Correct	2
93	0.5	Instruction	16
97	0	Error	16
101	0.5	Instruction	12
105	0	Correct	12
121	0.5	Instruction	16
123.2	0	Error	16
127	0.5	Instruction	3
130.1	0	Error	3
134	0.5	Instruction	1
136.9	0	Error	1
140	0.5	Instruction	13
142	0	Error	13
146	0.5	Instruction	11
150.3	0	Error	11
154	0.5	Instruction	12
156.2	0	Error	12
160	0.5	Instruction	8
162.9	0	Error	8
165	0.5	Instruction	2
168.9	0	Correct	2
178	0.5	Instruction	10
180.6	0	Error	10
183	0.5	Instruction	5
185.8	0	Error	5
189	0.5	Instruction	15
191	0	Error	15
195	0.5	Instruction	4
197	0	Error	4
199	0.5	Instruction	14
202.2	0	Error	14
205	0.5	Instruction	7
209	0	Error	7
213	0.5	Instruction	9
217.2	0	Error	9
220	0.5	Instruction	6
223.3	0	Error	6
227	0.5	Instruction	5
230.9	0	Error	5
244	0.5	Instruction	6
245.9	0	Correct	6
249	0.5	Instruction	14
252.9	0	Error	14
255	0.5	Instruction	9
257.7	0	Error	9
260	0.5	Instruction	15
262	0	Error	15
265	0.5	Instruction	2
267.9	0	Error	2
272	0.5	Instruction	12
275.2	0	Error	12
277	0.5	Instruction	11
279.2	0	Error	11
281	0.5	Instruction	7
283.2	0	Error	7
285.1	0.5	Instruction	3
288.9	0	Correct	3
291.1	0.5	Instruction	8
294.9	0	Correct	8
297.1	0.5	Instruction	4
299.8	0	Error	4
302.1	0.5	Instruction	13
304.2	0	Error	13
308.1	0.5	Instruction	16
311.2	0	Correct	16
314.1	0.5	Instruction	1
316.1	0	Correct	1
319.1	0.5	Instruction	10
322	0	Correct	10
170.5	7	Change_rule	0
108.5	12	Baseline	0
233.5	10	Baseline	0
325.6	11	Baseline	0
