onset	duration	trial_type	stim_id
9.5	0.5	Instruction	7
11	1	Obs_err	7
15.5	0.5	Instruction	5
19	1	Obs_err	5
21.5	0.5	Instruction	13
25	1	Obs_corr	13
27.5	0.5	Instruction	16
29	1	Obs_err	16
31.5	0.5	Instruction	15
35	1	Obs_corr	15
38.5	0.5	Instruction	1
42	1	Obs_corr	1
44.5	0.5	Instruction	9
47	1	Obs_err	9
51.5	0.5	Instruction	14
55	1	Obs_err	14
58.5	0.5	Instruction	2
60	1	Obs_corr	2
62.5	0.5	Instruction	3
66	1	Obs_err	3
70	3	Catch_trial	3
73.5	0.5	Instruction	8
75	1	Obs_corr	8
77.5	0.5	Instruction	10
79	1	Obs_corr	10
83.5	0.5	Instruction	4
87	1	Obs_corr	4
91.5	0.5	Instruction	11
93	1	Obs_corr	11
95.5	0.5	Instruction	12
97	1	Obs_corr	12
112.5	0.5	Instruction	6
115	1	Obs_corr	6
118.5	0.5	Instruction	7
122	1	Obs_corr	7
125.5	0.5	Instruction	8
128	1	Obs_err	8
130	3	Catch_trial	8
133.5	0.5	Instruction	4
137	1	Obs_corr	4
140.5	0.5	Instruction	14
144	1	Obs_corr	14
148.5	0.5	Instruction	6
150	1	Obs_err	6
153.5	0.5	Instruction	2
156	1	Obs_corr	2
158.5	0.5	Instruction	12
160	1	Obs_corr	12
164.5	0.5	Instruction	1
168	1	Obs_err	1
178.5	0.5	Instruction	16
181	1	Obs_corr	16
185	3	Catch_trial	16
188.5	0.5	Instruction	9
192	1	Obs_corr	9
194.5	0.5	Instruction	3
198	1	Obs_corr	3
201.5	0.5	Instruction	10
203	1	Obs_err	10
205.5	0.5	Instruction	5
207	1	Obs_corr	5
209.5	0.5	Instruction	13
212	1	Obs_err	13
215.5	0.5	Instruction	15
218	1	Obs_corr	15
222.5	0.5	Instruction	11
226	1	Obs_err	11
238.5	0.5	Instruction	3
241	1	Obs_corr	3
243.5	0.5	Instruction	14
246	1	Obs_corr	14
249	3	Catch_trial	14
252.5	0.5	Instruction	15
254	1	Obs_err	15
257.5	0.5	Instruction	5
260	1	Obs_corr	5
264.5	0.5	Instruction	4
267	1	Obs_err	4
271.5	0.5	Instruction	13
275	1	Obs_corr	13
278	3	Catch_trial	13
281.5	0.5	Instruction	10
283	1	Obs_corr	10
286.5	0.5	Instruction	1
289	1	Obs_corr	1
293.5	0.5	Instruction	7
295	1	Obs_corr	7
298.5	0.5	Instruction	6
301	1	Obs_corr	6
305.5	0.5	Instruction	11
307	1	Obs_corr	11
309.5	0.5	Instruction	16
313	1	Obs_corr	16
317	3	Catch_trial	16
320.5	0.5	Instruction	12
322	1	Obs_err	12
325	3	Catch_trial	12
328.5	0.5	Instruction	9
331	1	Obs_corr	9
334.5	0.5	Instruction	8
337	1	Obs_corr	8
339	3	Catch_trial	8
342.5	0.5	Instruction	2
345	1	Obs_err	2
171	7	Change_rule	0
101	11	Baseline	0
228	10	Baseline	0
349	12	Baseline	0
