onset	duration	trial_type	stimulus_type
9	0.5	Instruction	9
11.8	0	Correct	9
16	0.5	Instruction	1
18.8	0	Correct	1
22	0.5	Instruction	16
25.8	0	Correct	16
30	0.5	Instruction	7
31.9	0	Correct	7
34	0.5	Instruction	2
35.9	0	Correct	2
39	0.5	Instruction	13
41.8	0	Correct	13
45	0.5	Instruction	6
46.9	0	Correct	6
50	0.5	Instruction	11
52.8	0	Correct	11
57	0.5	Instruction	5
58.9	0	Correct	5
62	0.5	Instruction	10
63.9	0	Correct	10
67	0.5	Instruction	14
69.8	0	Correct	14
72	0.5	Instruction	12
73.9	0	Correct	12
77	0.5	Instruction	15
80.9	0	Correct	15
85	0.5	Instruction	4
87.9	0	Correct	4
90	0.5	Instruction	3
93.8	0	Correct	3
97	0.5	Instruction	8
100.8	0	Correct	8
114	0.5	Instruction	16
116.9	0	Correct	16
121	0.5	Instruction	12
124.8	0	Correct	12
129	0.5	Instruction	4
131.8	0	Correct	4
134	0.5	Instruction	6
136.8	0	Correct	6
140	0.5	Instruction	8
143.8	0	Correct	8
146	0.5	Instruction	9
149.8	0	Correct	9
152	0.5	Instruction	3
153.9	0	Correct	3
157	0.5	Instruction	1
158.8	0	Correct	1
170	0.5	Instruction	5
172.8	0	Correct	5
175	0.5	Instruction	10
177	0	Correct	10
181	0.5	Instruction	14
183.8	0	Correct	14
188	0.5	Instruction	7
191.8	0	Correct	7
194	0.5	Instruction	13
197.9	0	Correct	13
200	0.5	Instruction	15
202.8	0	Correct	15
207	0.5	Instruction	11
208.9	0	Correct	11
211	0.5	Instruction	2
214.9	0	Correct	2
219	0.5	Instruction	9
220.9	0	Correct	9
236	0.5	Instruction	4
238.6	0	Error	4
241	0.5	Instruction	12
242.9	0	Correct	12
246	0.5	Instruction	3
249.9	0	Correct	3
254	0.5	Instruction	15
256.9	0	Correct	15
259	0.5	Instruction	10
263	0	Correct	10
267	0.5	Instruction	1
270.9	0	Correct	1
275	0.5	Instruction	11
278.9	0	Correct	11
281	0.5	Instruction	7
283.9	0	Correct	7
287	0.5	Instruction	6
290.9	0	Correct	6
293	0.5	Instruction	8
294.9	0	Correct	8
297	0.5	Instruction	2
298.9	0	Correct	2
303	0.5	Instruction	5
306.9	0	Correct	5
310	0.5	Instruction	13
312.9	0	Correct	13
315	0.5	Instruction	16
317.8	0	Correct	16
321	0.5	Instruction	14
322.9	0	Correct	14
162.5	7	Change_rule	0
103.5	10	Baseline	0
224.5	11	Baseline	0
324.5	12	Baseline	0
