onset	duration	trial_type	stim_id
9	0.5	Instruction	13
12.9	0	Correct	13
16	0.5	Instruction	6
20.1	0	Correct	6
22	0.5	Instruction	3
24.9	0	Correct	3
27	0.5	Instruction	7
29.1	0	Correct	7
31	0.5	Instruction	8
33	0	Correct	8
35	0.5	Instruction	12
38.9	0	Correct	12
41	0.5	Instruction	15
43.5	0	Correct	15
47	0.5	Instruction	5
49.9	0	Correct	5
53	0.5	Instruction	10
56	0	Correct	10
60	0.5	Instruction	4
64	0	Correct	4
67	0.5	Instruction	14
71	0	Correct	14
73	0.5	Instruction	2
75.6	0	Error	2
78	0.5	Instruction	9
80.9	0	Correct	9
83	0.5	Instruction	11
85.8	0	Correct	11
90	0.5	Instruction	1
93.8	0	Correct	1
96	0.5	Instruction	16
98.2	0	Correct	16
101	0.5	Instruction	3
103.9	0	Correct	3
116	0.5	Instruction	7
119.9	0	Correct	7
124	0.5	Instruction	16
128	0	Correct	16
132	0.5	Instruction	14
134.1	0	Correct	14
136	0.5	Instruction	2
139	0	Correct	2
142	0.5	Instruction	8
144	0	Correct	8
148	0.5	Instruction	15
150.9	0	Correct	15
155	0.5	Instruction	9
158.1	0	Correct	9
168	0.5	Instruction	12
171.9	0	Correct	12
175	0.5	Instruction	4
177	0	Correct	4
181	0.5	Instruction	10
183	0	Correct	10
186	0.5	Instruction	11
188.1	0	Correct	11
190	0.5	Instruction	13
192.9	0	Correct	13
197	0.5	Instruction	5
201.2	0	Correct	5
205	0.5	Instruction	1
208	0	Correct	1
210	0.5	Instruction	6
212.9	0	Correct	6
228	0.5	Instruction	1
231.9	0	Correct	1
236	0.5	Instruction	15
239	0	Correct	15
243	0.5	Instruction	12
246.4	0	Correct	12
248	0.5	Instruction	6
251.9	0	Correct	6
254.1	0.5	Instruction	7
258.4	0	Correct	7
262.1	0.5	Instruction	11
265.9	0	Correct	11
269.1	0.5	Instruction	3
270.9	0	Correct	3
273.1	0.5	Instruction	8
275.3	0	Correct	8
279.1	0.5	Instruction	14
281.1	0	Correct	14
284.1	0.5	Instruction	10
287.9	0	Correct	10
290.1	0.5	Instruction	13
293.1	0	Correct	13
296.1	0.5	Instruction	16
298.2	0	Error	16
301.1	0.5	Instruction	4
303.1	0	Correct	4
306.1	0.5	Instruction	9
308.1	0	Correct	9
312.1	0.5	Instruction	5
316.1	0	Correct	5
320.1	0.5	Instruction	2
323	0	Correct	2
160.5	7	Change_rule	0
105.5	10	Baseline	0
215.5	12	Baseline	0
325.6	11	Baseline	0
