onset	duration	trial_type	stimulus_type
9.5	0.5	Instruction	16
11	1	Obs_corr	16
15.5	0.5	Instruction	8
17	1	Obs_err	8
21.5	0.5	Instruction	11
25	1	Obs_corr	11
27.5	0.5	Instruction	3
29	1	Obs_corr	3
32.5	0.5	Instruction	13
34	1	Obs_corr	13
36.5	0.5	Instruction	4
38	1	Obs_corr	4
40.5	0.5	Instruction	12
42	1	Obs_err	12
46.5	0.5	Instruction	1
50	1	Obs_corr	1
54.5	0.5	Instruction	14
58	1	Obs_corr	14
61.5	0.5	Instruction	6
63	1	Obs_err	6
67.5	0.5	Instruction	10
70	1	Obs_err	10
73	3	Catch_trial	10
76.5	0.5	Instruction	15
80	1	Obs_corr	15
82.5	0.5	Instruction	9
84	1	Obs_corr	9
86.5	0.5	Instruction	2
89	1	Obs_corr	2
92.5	0.5	Instruction	5
95	1	Obs_err	5
97	3	Catch_trial	5
112.5	0.5	Instruction	7
116	1	Obs_corr	7
120	3	Catch_trial	7
123.5	0.5	Instruction	14
125	1	Obs_corr	14
128.5	0.5	Instruction	3
132	1	Obs_err	3
134.5	0.5	Instruction	9
137	1	Obs_corr	9
141.5	0.5	Instruction	10
143	1	Obs_corr	10
145.5	0.5	Instruction	4
149	1	Obs_corr	4
152.5	0.5	Instruction	5
156	1	Obs_corr	5
158.5	0.5	Instruction	12
161	1	Obs_corr	12
165.5	0.5	Instruction	16
167	1	Obs_err	16
178.5	0.5	Instruction	15
180	1	Obs_corr	15
182.5	0.5	Instruction	6
184	1	Obs_corr	6
188.5	0.5	Instruction	7
191	1	Obs_corr	7
194.5	0.5	Instruction	8
197	1	Obs_corr	8
199	3	Catch_trial	8
202.5	0.5	Instruction	1
205	1	Obs_err	1
207.5	0.5	Instruction	2
210	1	Obs_err	2
213.5	0.5	Instruction	13
215	1	Obs_corr	13
218.5	0.5	Instruction	11
222	1	Obs_corr	11
236.5	0.5	Instruction	2
240	1	Obs_corr	2
243.5	0.5	Instruction	5
247	1	Obs_corr	5
250.5	0.5	Instruction	10
253	1	Obs_corr	10
256.5	0.5	Instruction	15
259	1	Obs_err	15
262.5	0.5	Instruction	12
264	1	Obs_corr	12
267	3	Catch_trial	12
270.5	0.5	Instruction	16
273	1	Obs_corr	16
277.5	0.5	Instruction	8
279	1	Obs_corr	8
283	3	Catch_trial	8
286.5	0.5	Instruction	13
290	1	Obs_err	13
292	3	Catch_trial	13
295.5	0.5	Instruction	3
298	1	Obs_corr	3
302.5	0.5	Instruction	4
305	1	Obs_err	4
309.5	0.5	Instruction	11
313	1	Obs_err	11
316.5	0.5	Instruction	9
320	1	Obs_err	9
322.5	0.5	Instruction	14
325	1	Obs_err	14
329	3	Catch_trial	14
332.5	0.5	Instruction	7
335	1	Obs_err	7
338.5	0.5	Instruction	6
342	1	Obs_corr	6
344.5	0.5	Instruction	1
348	1	Obs_corr	1
171	7	Change_rule	0
100	12	Baseline	0
226	10	Baseline	0
350	11	Baseline	0
