onset	duration	trial_type	stimulus_type
9	0.5	Instruction	1
11	0	Correct	1
14	0.5	Instruction	7
15.8	0	Error	7
19	0.5	Instruction	14
22.8	0	Error	14
25	0.5	Instruction	6
27.8	0	Correct	6
30	0.5	Instruction	5
33	0	Error	5
36	0.5	Instruction	15
40.3	0	Error	15
43	0.5	Instruction	4
46	0	Error	4
50	0.5	Instruction	16
53.9	0	Error	16
57	0.5	Instruction	3
59.3	0	Correct	3
63	0.5	Instruction	9
65	0	Error	9
67	0.5	Instruction	13
69.9	0	Correct	13
72	0.5	Instruction	8
75.8	0	Correct	8
78	0.5	Instruction	12
80.7	0	Error	12
84	0.5	Instruction	10
88.1	0	Error	10
92	0.5	Instruction	11
94.8	0	Correct	11
98	0.5	Instruction	2
102.1	0	Error	2
105	0.5	Instruction	10
107.3	0	Error	10
120	0.5	Instruction	12
122.9	0	Error	12
127	0.5	Instruction	16
129.3	0	Correct	16
132	0.5	Instruction	9
134	0	Error	9
138	0.5	Instruction	1
140.9	0	Correct	1
144	0.5	Instruction	13
147.8	0	Correct	13
150	0.5	Instruction	3
153	0	Correct	3
155	0.5	Instruction	7
157	0	Error	7
167	0.5	Instruction	11
169.4	0	Error	11
172	0.5	Instruction	14
173.9	0	Correct	14
177	0.5	Instruction	15
179.6	0	Error	15
185	0.5	Instruction	8
186.9	0	Error	8
190	0.5	Instruction	4
192.9	0	Correct	4
195	0.5	Instruction	6
197.1	0	Error	6
201	0.5	Instruction	5
202.9	0	Correct	5
207	0.5	Instruction	2
210	0	Correct	2
214	0.5	Instruction	5
217.9	0	Correct	5
231	0.5	Instruction	12
234.9	0	Correct	12
239	0.5	Instruction	13
242.9	0	Error	13
245	0.5	Instruction	10
248.9	0	Error	10
253	0.5	Instruction	14
256.8	0	Correct	14
259	0.5	Instruction	11
263.1	0	Error	11
267	0.5	Instruction	15
270	0	Correct	15
273	0.5	Instruction	9
277	0	Correct	9
281	0.5	Instruction	2
283.4	0	Correct	2
287	0.5	Instruction	16
291	0	Error	16
295	0.5	Instruction	8
298	0	Correct	8
300	0.5	Instruction	7
302	0	Correct	7
304	0.5	Instruction	4
306.9	0	Correct	4
309	0.5	Instruction	3
311.9	0	Error	3
315	0.5	Instruction	1
318.1	0	Error	1
320	0.5	Instruction	6
322.8	0	Error	6
159.5	7	Change_rule	0
109.5	10	Baseline	0
219.5	11	Baseline	0
324.5	12	Baseline	0
