onset	duration	trial_type	stimulus_type
9	0.5	Instruction	7
12	0	Error	7
16	0.5	Instruction	11
19.9	0	Error	11
24	0.5	Instruction	15
28	0	Correct	15
31	0.5	Instruction	12
34.1	0	Error	12
35	0.5	Instruction	13
39.3	0	Error	13
42	0.5	Instruction	5
45	0	Correct	5
48	0.5	Instruction	4
51.3	0	Correct	4
55	0.5	Instruction	1
57.5	0	Error	1
61	0.5	Instruction	2
64	0	Correct	2
68	0.5	Instruction	3
70.1	0	Correct	3
72	0.5	Instruction	14
75.1	0	Error	14
77	0.5	Instruction	16
80.3	0	Correct	16
82	0.5	Instruction	10
85	0	Error	10
89	0.5	Instruction	8
91	0	Correct	8
93	0.5	Instruction	9
96.1	0	Correct	9
100	0.5	Instruction	6
103.9	0	Correct	6
107	0.5	Instruction	11
109.5	0	Correct	11
121	0.5	Instruction	1
124.1	0	Correct	1
128	0.5	Instruction	10
131.5	0	Error	10
133	0.5	Instruction	8
137	0	Correct	8
139	0.5	Instruction	14
143.3	0	Error	14
147	0.5	Instruction	3
150.1	0	Correct	3
153	0.5	Instruction	13
155.5	0	Correct	13
159	0.5	Instruction	16
161.4	0	Error	16
171	0.5	Instruction	2
174.9	0	Correct	2
178	0.5	Instruction	9
180.6	0	Error	9
182	0.5	Instruction	5
185.9	0	Correct	5
190	0.5	Instruction	12
194.3	0	Correct	12
196	0.5	Instruction	4
200.1	0	Correct	4
203	0.5	Instruction	7
206.1	0	Error	7
210	0.5	Instruction	6
212.1	0	Correct	6
216	0.5	Instruction	15
218.9	0	Correct	15
232	0.5	Instruction	8
234.1	0	Error	8
238	0.5	Instruction	15
240.4	0	Correct	15
242	0.5	Instruction	10
244.5	0	Error	10
246	0.5	Instruction	5
248.1	0	Correct	5
250	0.5	Instruction	6
253.9	0	Correct	6
257	0.5	Instruction	14
260.9	0	Error	14
263	0.5	Instruction	9
267.4	0	Error	9
270	0.5	Instruction	13
273	0	Correct	13
276	0.5	Instruction	4
279	0	Correct	4
282	0.5	Instruction	1
284.9	0	Correct	1
289	0.5	Instruction	16
291.6	0	Error	16
294	0.5	Instruction	12
298	0	Correct	12
302	0.5	Instruction	3
304.9	0	Correct	3
309	0.5	Instruction	2
312.9	0	Correct	2
315	0.5	Instruction	7
317.3	0	Correct	7
320	0.5	Instruction	11
322.3	0	Correct	11
163.5	7	Change_rule	0
110.5	10	Baseline	0
220.5	11	Baseline	0
324.5	12	Baseline	0
