onset	duration	trial_type	stimulus_type
9	0.5	Instruction	13
11.5	0	Error	13
16	0.5	Instruction	6
19.9	0	Correct	6
22	0.5	Instruction	3
25.1	0	Correct	3
27	0.5	Instruction	7
29.2	0	Correct	7
31	0.5	Instruction	8
33.2	0	Correct	8
35	0.5	Instruction	12
39	0	Correct	12
41	0.5	Instruction	15
43.7	0	Error	15
47	0.5	Instruction	5
50.1	0	Correct	5
53	0.5	Instruction	10
56.1	0	Correct	10
60	0.5	Instruction	4
64	0	Correct	4
67	0.5	Instruction	14
71.6	0	Error	14
73	0.5	Instruction	2
75.3	0	Correct	2
78	0.5	Instruction	9
81.1	0	Correct	9
83	0.5	Instruction	11
86	0	Correct	11
90	0.5	Instruction	1
93.9	0	Error	1
96	0.5	Instruction	16
98.4	0	Correct	16
101	0.5	Instruction	3
103.9	0	Correct	3
116	0.5	Instruction	7
119.8	0	Correct	7
124	0.5	Instruction	16
128	0	Correct	16
132	0.5	Instruction	14
134.5	0	Correct	14
136	0.5	Instruction	2
138.8	0	Correct	2
142	0.5	Instruction	8
144.2	0	Correct	8
148	0.5	Instruction	15
151	0	Error	15
155	0.5	Instruction	9
157.9	0	Correct	9
168	0.5	Instruction	12
171.8	0	Correct	12
175	0.5	Instruction	4
177.1	0	Correct	4
181	0.5	Instruction	10
183	0	Correct	10
186	0.5	Instruction	11
188.6	0	Error	11
190	0.5	Instruction	13
193.1	0	Correct	13
197	0.5	Instruction	5
200.8	0	Correct	5
205	0.5	Instruction	1
207.9	0	Correct	1
210	0.5	Instruction	6
213	0	Correct	6
228	0.5	Instruction	1
231.8	0	Correct	1
236	0.5	Instruction	15
239	0	Correct	15
243	0.5	Instruction	12
245.9	0	Correct	12
248	0.5	Instruction	6
251.9	0	Correct	6
254	0.5	Instruction	7
258.1	0	Correct	7
262	0.5	Instruction	11
265.9	0	Correct	11
269	0.5	Instruction	3
271.1	0	Correct	3
273	0.5	Instruction	8
275.1	0	Correct	8
279	0.5	Instruction	14
281.7	0	Error	14
284	0.5	Instruction	10
287.9	0	Correct	10
290	0.5	Instruction	13
292.9	0	Correct	13
296	0.5	Instruction	16
298.3	0	Correct	16
301	0.5	Instruction	4
303.2	0	Correct	4
306	0.5	Instruction	9
308.2	0	Correct	9
312	0.5	Instruction	5
315.9	0	Correct	5
320	0.5	Instruction	2
323	0	Correct	2
160.5	7	Change_rule	0
105.5	10	Baseline	0
215.5	12	Baseline	0
325.5	11	Baseline	0
