onset	duration	trial_type	stim_id
9	0.5	Instruction	9
12	0	Correct	9
16	0.5	Instruction	2
18.2	0	Correct	2
22	0.5	Instruction	10
24.2	0	Correct	10
26	0.5	Instruction	5
28.3	0	Correct	5
31	0.5	Instruction	15
33.5	0	Error	15
37	0.5	Instruction	14
39.1	0	Correct	14
42	0.5	Instruction	4
44.9	0	Correct	4
47	0.5	Instruction	1
50	0	Correct	1
54	0.5	Instruction	16
56.2	0	Correct	16
60	0.5	Instruction	12
63	0	Correct	12
66	0.5	Instruction	3
70	0	Correct	3
72	0.5	Instruction	11
74.2	0	Correct	11
76	0.5	Instruction	7
79.1	0	Correct	7
81	0.5	Instruction	13
84.4	0	Correct	13
86	0.5	Instruction	8
89.5	0	Correct	8
103	0.5	Instruction	6
105.1	0	Correct	6
109	0.5	Instruction	13
112.9	0	Correct	13
117	0.5	Instruction	14
120.9	0	Correct	14
125	0.5	Instruction	15
129	0	Correct	15
132	0.5	Instruction	16
135.1	0	Correct	16
137	0.5	Instruction	4
141	0	Correct	4
145	0.5	Instruction	6
149	0	Correct	6
152	0.5	Instruction	3
155.9	0	Correct	3
159	0.5	Instruction	7
162.2	0	Correct	7
173	0.5	Instruction	2
176.9	0	Correct	2
180	0.5	Instruction	5
184	0	Correct	5
187	0.5	Instruction	12
189.6	0	Error	12
191	0.5	Instruction	9
193.2	0	Correct	9
196	0.5	Instruction	1
198.2	0	Correct	1
200	0.5	Instruction	8
203	0	Correct	8
207	0.5	Instruction	10
210.8	0	Correct	10
213	0.5	Instruction	11
216	0	Correct	11
230	0.5	Instruction	1
232	0	Error	1
234	0.5	Instruction	10
236.9	0	Correct	10
239	0.5	Instruction	6
242.8	0	Correct	6
245	0.5	Instruction	7
248.2	0	Correct	7
251	0.5	Instruction	9
254.9	0	Correct	9
258	0.5	Instruction	3
262.1	0	Correct	3
264	0.5	Instruction	13
266.1	0	Correct	13
268	0.5	Instruction	2
270.2	0	Correct	2
274	0.5	Instruction	16
276.1	0	Correct	16
280	0.5	Instruction	11
282.9	0	Correct	11
286	0.5	Instruction	4
289.9	0	Correct	4
294	0.5	Instruction	15
296.5	0	Error	15
300	0.5	Instruction	14
304	0	Correct	14
307	0.5	Instruction	12
310.9	0	Correct	12
314	0.5	Instruction	8
317.1	0	Correct	8
319	0.5	Instruction	5
322.5	0	Correct	5
165.5	7	Change_rule	0
91.5	11	Baseline	0
219.5	10	Baseline	0
324.6	12	Baseline	0
