onset	duration	trial_type	stimulus_type
9.5	0.5	Instruction	5
10.6	0	Error_f	5
15.5	0.5	Fdbck_err	5
19.5	0.5	Instruction	10
22.7	0	Correct_f	10
26.5	0.5	Fdbck_corr	10
28.5	0.5	Instruction	6
32.4	0	Correct_f	6
34.5	0.5	Fdbck_corr	6
36.5	0.5	Instruction	15
39.6	0	Correct_f	15
42.5	0.5	Fdbck_corr	15
46.5	0.5	Instruction	8
49.6	0	Correct_f	8
53.5	0.5	Fdbck_corr	8
57.5	0.5	Instruction	3
60.2	0	Error_f	3
61.5	0.5	Fdbck_err	3
64.5	0.5	Instruction	16
68.4	0	Correct_f	16
70.5	0.5	Fdbck_corr	16
73.5	0.5	Instruction	4
77.4	0	Correct_f	4
79.5	0.5	Fdbck_corr	4
81.5	0.5	Instruction	12
84.6	0	Error_f	12
88.5	0.5	Fdbck_err	12
91.5	0.5	Instruction	1
94.8	0	Correct_f	1
97.5	0.5	Fdbck_corr	1
101.5	0.5	Instruction	7
104.2	0	Error_f	7
106.5	0.5	Fdbck_err	7
109.5	0.5	Instruction	13
113.3	0	Correct_f	13
116.5	0.5	Fdbck_corr	13
118.5	0.5	Instruction	2
120.7	0	Correct_f	2
124.5	0.5	Fdbck_corr	2
127.5	0.5	Instruction	9
129.8	0	Error_f	9
131.5	0.5	Fdbck_err	9
135.5	0.5	Instruction	11
139.5	0	Correct_f	11
141.5	0.5	Fdbck_corr	11
143.5	0.5	Instruction	14
146.6	0	Correct_f	14
149.5	0.5	Fdbck_corr	14
162.5	0.5	Instruction	7
164.7	0	Error_f	7
169.5	0.5	Fdbck_err	7
171.5	0.5	Instruction	4
174.5	0	Correct_f	4
178.5	0.5	Fdbck_corr	4
181.5	0.5	Instruction	16
184.7	0	Correct_f	16
186.5	0.5	Fdbck_corr	16
189.5	0.5	Instruction	10
191.9	0	Correct_f	10
194.5	0.5	Fdbck_corr	10
197.5	0.5	Instruction	5
201.4	0	Correct_f	5
205.5	0.5	Fdbck_corr	5
207.5	0.5	Instruction	11
211.5	0	Correct_f	11
215.5	0.5	Fdbck_corr	11
217.5	0.5	Instruction	9
220.6	0	Correct_f	9
222.5	0.5	Fdbck_corr	9
226.5	0.5	Instruction	6
230.8	0	Correct_f	6
233.5	0.5	Fdbck_corr	6
243.5	0.5	Instruction	1
247.4	0	Correct_f	1
250.5	0.5	Fdbck_corr	1
252.5	0.5	Instruction	14
255.6	0	Error_f	14
258.5	0.5	Fdbck_err	14
260.5	0.5	Instruction	8
262.7	0	Correct_f	8
266.5	0.5	Fdbck_corr	8
269.5	0.5	Instruction	13
272	0	Correct_f	13
274.5	0.5	Fdbck_corr	13
276.5	0.5	Instruction	2
278.8	0	Correct_f	2
280.5	0.5	Fdbck_corr	2
284.5	0.5	Instruction	3
288.4	0	Correct_f	3
290.5	0.5	Fdbck_corr	3
292.5	0.5	Instruction	12
294.7	0	Correct_f	12
298.5	0.5	Fdbck_corr	12
312.5	0.5	Instruction	15
315.6	0	Correct_f	15
318.5	0.5	Fdbck_corr	15
321.5	0.5	Instruction	14
323.7	0	Correct_f	14
327.5	0.5	Fdbck_corr	14
331.5	0.5	Instruction	12
333.6	0	Correct_f	12
336.5	0.5	Fdbck_corr	12
339.5	0.5	Instruction	10
341.9	0	Correct_f	10
343.5	0.5	Fdbck_corr	10
345.5	0.5	Instruction	7
349.6	0	Error_f	7
353.5	0.5	Fdbck_err	7
356.5	0.5	Instruction	4
360.4	0	Correct_f	4
363.5	0.5	Fdbck_corr	4
365.5	0.5	Instruction	16
368.5	0	Correct_f	16
370.5	0.5	Fdbck_corr	16
374.5	0.5	Instruction	8
378.5	0	Correct_f	8
382.5	0.5	Fdbck_corr	8
386.5	0.5	Instruction	11
389.7	0	Correct_f	11
392.5	0.5	Fdbck_corr	11
396.5	0.5	Instruction	6
399.9	0	Error_f	6
401.5	0.5	Fdbck_err	6
404.5	0.5	Instruction	13
406.9	0	Error_f	13
410.5	0.5	Fdbck_err	13
414.5	0.5	Instruction	3
418.5	0	Correct_f	3
421.5	0.5	Fdbck_corr	3
425.5	0.5	Instruction	5
427.8	0	Correct_f	5
431.5	0.5	Fdbck_corr	5
434.5	0.5	Instruction	2
437.6	0	Correct_f	2
439.5	0.5	Fdbck_corr	2
443.5	0.5	Instruction	1
445.8	0	Correct_f	1
449.5	0.5	Fdbck_corr	1
453.5	0.5	Instruction	9
456.5	0	Correct_f	9
458.5	0.5	Fdbck_corr	9
461.5	0.5	Instruction	15
464.6	0	Correct_f	15
467.5	0.5	Fdbck_corr	15
236	7	Change_rule	0
151	11	Baseline	0
300	12	Baseline	0
471	10	Baseline	0
