onset	duration	trial_type	stimulus_type
9.5	0.5	Instruction	7
14.1	0	Error_f	7
16.5	0.5	Fdbck_err	7
20.5	0.5	Instruction	11
24.2	0	Correct_f	11
27.5	0.5	Fdbck_corr	11
31.5	0.5	Instruction	15
35.3	0	Correct_f	15
37.5	0.5	Fdbck_corr	15
40.5	0.5	Instruction	12
42.5	0	Correct_f	12
45.5	0.5	Fdbck_corr	12
49.5	0.5	Instruction	13
53.3	0	Correct_f	13
57.5	0.5	Fdbck_corr	13
60.5	0.5	Instruction	5
63.6	0	Error_f	5
66.5	0.5	Fdbck_err	5
69.5	0.5	Instruction	4
72.3	0	Correct_f	4
74.5	0.5	Fdbck_corr	4
77.5	0.5	Instruction	1
79.4	0	Correct_f	1
81.5	0.5	Fdbck_corr	1
83.5	0.5	Instruction	2
86.3	0	Correct_f	2
89.5	0.5	Fdbck_corr	2
93.5	0.5	Instruction	3
95.4	0	Correct_f	3
98.5	0.5	Fdbck_corr	3
101.5	0.5	Instruction	14
104.3	0	Correct_f	14
108.5	0.5	Fdbck_corr	14
111.5	0.5	Instruction	16
114.3	0	Correct_f	16
116.5	0.5	Fdbck_corr	16
118.5	0.5	Instruction	10
121.3	0	Correct_f	10
125.5	0.5	Fdbck_corr	10
128.5	0.5	Instruction	8
130.9	0	Error_f	8
133.5	0.5	Fdbck_err	8
137.5	0.5	Instruction	9
140.3	0	Correct_f	9
142.5	0.5	Fdbck_corr	9
146.5	0.5	Instruction	6
150.3	0	Correct_f	6
152.5	0.5	Fdbck_corr	6
156.5	0.5	Instruction	11
158.5	0	Correct_f	11
162.5	0.5	Fdbck_corr	11
174.5	0.5	Instruction	1
177.3	0	Correct_f	1
179.5	0.5	Fdbck_corr	1
182.5	0.5	Instruction	10
185.3	0	Correct_f	10
188.5	0.5	Fdbck_corr	10
192.5	0.5	Instruction	8
196.3	0	Correct_f	8
200.5	0.5	Fdbck_corr	8
202.5	0.5	Instruction	14
206.3	0	Correct_f	14
208.5	0.5	Fdbck_corr	14
210.5	0.5	Instruction	3
213.5	0	Correct_f	3
215.5	0.5	Fdbck_corr	3
218.5	0.5	Instruction	13
220.5	0	Correct_f	13
223.5	0.5	Fdbck_corr	13
227.5	0.5	Instruction	16
229.6	0	Error_f	16
231.5	0.5	Fdbck_err	16
241.5	0.5	Instruction	2
245.3	0	Correct_f	2
249.5	0.5	Fdbck_corr	2
252.5	0.5	Instruction	9
254.4	0	Correct_f	9
258.5	0.5	Fdbck_corr	9
261.5	0.5	Instruction	5
265.3	0	Correct_f	5
269.5	0.5	Fdbck_corr	5
271.5	0.5	Instruction	12
275.4	0	Error_f	12
279.5	0.5	Fdbck_err	12
283.5	0.5	Instruction	4
287.3	0	Correct_f	4
289.5	0.5	Fdbck_corr	4
291.5	0.5	Instruction	7
294.5	0	Correct_f	7
296.5	0.5	Fdbck_corr	7
298.5	0.5	Instruction	6
300.5	0	Correct_f	6
304.5	0.5	Fdbck_corr	6
306.5	0.5	Instruction	15
309.3	0	Correct_f	15
312.5	0.5	Fdbck_corr	15
327.5	0.5	Instruction	8
329.4	0	Correct_f	8
333.5	0.5	Fdbck_corr	8
337.5	0.5	Instruction	15
339.5	0	Correct_f	15
342.5	0.5	Fdbck_corr	15
344.5	0.5	Instruction	10
346.5	0	Correct_f	10
349.5	0.5	Fdbck_corr	10
351.5	0.5	Instruction	5
353.3	0	Correct_f	5
357.5	0.5	Fdbck_corr	5
361.5	0.5	Instruction	6
365.2	0	Correct_f	6
368.5	0.5	Fdbck_corr	6
372.5	0.5	Instruction	14
376.3	0	Correct_f	14
380.5	0.5	Fdbck_corr	14
382.5	0.5	Instruction	9
386.4	0	Correct_f	9
390.5	0.5	Fdbck_corr	9
394.5	0.5	Instruction	13
397.7	0	Correct_f	13
401.5	0.5	Fdbck_corr	13
403.5	0.5	Instruction	4
406.3	0	Error_f	4
408.5	0.5	Fdbck_err	4
410.5	0.5	Instruction	1
413.4	0	Error_f	1
416.5	0.5	Fdbck_err	1
419.5	0.5	Instruction	16
422	0	Correct_f	16
423.5	0.5	Fdbck_corr	16
425.5	0.5	Instruction	12
429.3	0	Correct_f	12
431.5	0.5	Fdbck_corr	12
434.5	0.5	Instruction	3
437.3	0	Correct_f	3
441.5	0.5	Fdbck_corr	3
444.5	0.5	Instruction	2
448.3	0	Correct_f	2
451.5	0.5	Fdbck_corr	2
455.5	0.5	Instruction	7
458.2	0	Error_f	7
459.5	0.5	Fdbck_err	7
461.5	0.5	Instruction	11
463.7	0	Correct_f	11
466.5	0.5	Fdbck_corr	11
234	7	Change_rule	0
164	10	Baseline	0
316	11	Baseline	0
469	12	Baseline	0
