onset	duration	trial_type	stim_id
9.5	0.5	Instruction	5
13	1	Obs_corr	5
15.5	0.5	Instruction	10
18	1	Obs_corr	10
22	3	Catch_trial	10
25.5	0.5	Instruction	6
29	1	Obs_err	6
33.5	0.5	Instruction	15
36	1	Obs_err	15
40.5	0.5	Instruction	8
43	1	Obs_err	8
47.5	0.5	Instruction	3
49	1	Obs_err	3
51.5	0.5	Instruction	16
55	1	Obs_corr	16
59.5	0.5	Instruction	4
63	1	Obs_err	4
66.5	0.5	Instruction	12
69	1	Obs_corr	12
71.5	0.5	Instruction	1
74	1	Obs_corr	1
76.5	0.5	Instruction	7
78	1	Obs_corr	7
82.5	0.5	Instruction	13
86	1	Obs_corr	13
89.5	0.5	Instruction	2
91	1	Obs_corr	2
93.5	0.5	Instruction	9
95	1	Obs_err	9
97.5	0.5	Instruction	11
101	1	Obs_corr	11
104	3	Catch_trial	11
107.5	0.5	Instruction	14
110	1	Obs_err	14
113	3	Catch_trial	14
127.5	0.5	Instruction	7
131	1	Obs_err	7
133.5	0.5	Instruction	4
136	1	Obs_corr	4
139.5	0.5	Instruction	16
142	1	Obs_err	16
146.5	0.5	Instruction	10
148	1	Obs_corr	10
150.5	0.5	Instruction	5
154	1	Obs_err	5
157.5	0.5	Instruction	11
161	1	Obs_corr	11
164.5	0.5	Instruction	9
167	1	Obs_corr	9
169	3	Catch_trial	9
172.5	0.5	Instruction	6
176	1	Obs_corr	6
185.5	0.5	Instruction	1
189	1	Obs_err	1
193.5	0.5	Instruction	14
195	1	Obs_corr	14
199.5	0.5	Instruction	8
201	1	Obs_corr	8
205.5	0.5	Instruction	13
207	1	Obs_err	13
210.5	0.5	Instruction	2
212	1	Obs_corr	2
214.5	0.5	Instruction	3
218	1	Obs_corr	3
220.5	0.5	Instruction	12
222	1	Obs_err	12
236.5	0.5	Instruction	15
239	1	Obs_corr	15
241	3	Catch_trial	15
244.5	0.5	Instruction	14
246	1	Obs_corr	14
250.5	0.5	Instruction	12
252	1	Obs_corr	12
254.5	0.5	Instruction	10
256	1	Obs_err	10
259.5	0.5	Instruction	7
263	1	Obs_corr	7
266.5	0.5	Instruction	4
270	1	Obs_corr	4
273.5	0.5	Instruction	16
276	1	Obs_corr	16
280.5	0.5	Instruction	8
284	1	Obs_corr	8
287.5	0.5	Instruction	11
290	1	Obs_err	11
293.5	0.5	Instruction	6
296	1	Obs_corr	6
298	3	Catch_trial	6
301.5	0.5	Instruction	13
303	1	Obs_corr	13
307.5	0.5	Instruction	3
311	1	Obs_corr	3
314.5	0.5	Instruction	5
316	1	Obs_corr	5
320.5	0.5	Instruction	2
323	1	Obs_err	2
327.5	0.5	Instruction	1
329	1	Obs_corr	1
332	3	Catch_trial	1
335.5	0.5	Instruction	9
338	1	Obs_corr	9
341.5	0.5	Instruction	15
344	1	Obs_corr	15
178	7	Change_rule	0
116	11	Baseline	0
224	12	Baseline	0
348	10	Baseline	0
