onset	duration	trial_type	stimulus_type
9.5	0.5	Instruction	9
12.4	0	Correct_f	9
14.5	0.5	Fdbck_corr	9
16.5	0.5	Instruction	1
19.3	0	Correct_f	1
21.5	0.5	Fdbck_corr	1
24.5	0.5	Instruction	16
28.3	0	Correct_f	16
31.5	0.5	Fdbck_corr	16
35.5	0.5	Instruction	7
37.9	0	Correct_f	7
39.5	0.5	Fdbck_corr	7
43.5	0.5	Instruction	2
45.4	0	Correct_f	2
47.5	0.5	Fdbck_corr	2
51.5	0.5	Instruction	13
54.3	0	Correct_f	13
57.5	0.5	Fdbck_corr	13
61.5	0.5	Instruction	6
63.7	0	Error_f	6
66.5	0.5	Fdbck_err	6
69.5	0.5	Instruction	11
72.3	0	Correct_f	11
75.5	0.5	Fdbck_corr	11
77.5	0.5	Instruction	5
79.5	0	Correct_f	5
82.5	0.5	Fdbck_corr	5
85.5	0.5	Instruction	10
87.8	0	Error_f	10
89.5	0.5	Fdbck_err	10
93.5	0.5	Instruction	14
96.3	0	Correct_f	14
100.5	0.5	Fdbck_corr	14
103.5	0.5	Instruction	12
105.6	0	Correct_f	12
107.5	0.5	Fdbck_corr	12
111.5	0.5	Instruction	15
115.3	0	Correct_f	15
117.5	0.5	Fdbck_corr	15
121.5	0.5	Instruction	4
124.4	0	Correct_f	4
128.5	0.5	Fdbck_corr	4
130.5	0.5	Instruction	3
134.3	0	Correct_f	3
138.5	0.5	Fdbck_corr	3
141.5	0.5	Instruction	8
145.3	0	Correct_f	8
148.5	0.5	Fdbck_corr	8
161.5	0.5	Instruction	16
164.5	0	Correct_f	16
167.5	0.5	Fdbck_corr	16
170.5	0.5	Instruction	12
174.3	0	Correct_f	12
178.5	0.5	Fdbck_corr	12
180.5	0.5	Instruction	4
183.3	0	Correct_f	4
185.5	0.5	Fdbck_corr	4
189.5	0.5	Instruction	6
192.3	0	Correct_f	6
196.5	0.5	Fdbck_corr	6
200.5	0.5	Instruction	8
204.3	0	Correct_f	8
208.5	0.5	Fdbck_corr	8
210.5	0.5	Instruction	9
214.3	0	Correct_f	9
216.5	0.5	Fdbck_corr	9
218.5	0.5	Instruction	3
220.4	0	Correct_f	3
223.5	0.5	Fdbck_corr	3
226.5	0.5	Instruction	1
228.7	0	Correct_f	1
230.5	0.5	Fdbck_corr	1
239.5	0.5	Instruction	5
242.3	0	Correct_f	5
246.5	0.5	Fdbck_corr	5
248.5	0.5	Instruction	10
250.7	0	Correct_f	10
254.5	0.5	Fdbck_corr	10
257.5	0.5	Instruction	14
260.3	0	Correct_f	14
264.5	0.5	Fdbck_corr	14
268.5	0.5	Instruction	7
272.3	0	Correct_f	7
276.5	0.5	Fdbck_corr	7
280.5	0.5	Instruction	13
284.3	0	Correct_f	13
287.5	0.5	Fdbck_corr	13
291.5	0.5	Instruction	15
294.3	0	Correct_f	15
297.5	0.5	Fdbck_corr	15
300.5	0.5	Instruction	11
302.6	0	Correct_f	11
306.5	0.5	Fdbck_corr	11
310.5	0.5	Instruction	2
314.3	0	Correct_f	2
318.5	0.5	Fdbck_corr	2
321.5	0.5	Instruction	9
323.8	0	Correct_f	9
327.5	0.5	Fdbck_corr	9
340.5	0.5	Instruction	4
342.4	0	Correct_f	4
344.5	0.5	Fdbck_corr	4
347.5	0.5	Instruction	12
349.4	0	Correct_f	12
353.5	0.5	Fdbck_corr	12
355.5	0.5	Instruction	3
359.3	0	Correct_f	3
363.5	0.5	Fdbck_corr	3
366.5	0.5	Instruction	15
369.3	0	Correct_f	15
372.5	0.5	Fdbck_corr	15
375.5	0.5	Instruction	10
378.7	0	Error_f	10
381.5	0.5	Fdbck_err	10
383.5	0.5	Instruction	1
387.4	0	Correct_f	1
389.5	0.5	Fdbck_corr	1
393.5	0.5	Instruction	11
397.4	0	Correct_f	11
400.5	0.5	Fdbck_corr	11
402.5	0.5	Instruction	7
405.3	0	Correct_f	7
408.5	0.5	Fdbck_corr	7
411.5	0.5	Instruction	6
415.3	0	Correct_f	6
417.5	0.5	Fdbck_corr	6
419.5	0.5	Instruction	8
421.5	0	Correct_f	8
424.5	0.5	Fdbck_corr	8
426.5	0.5	Instruction	2
428.4	0	Correct_f	2
431.5	0.5	Fdbck_corr	2
435.5	0.5	Instruction	5
439.3	0	Correct_f	5
442.5	0.5	Fdbck_corr	5
446.5	0.5	Instruction	13
449.4	0	Correct_f	13
451.5	0.5	Fdbck_corr	13
453.5	0.5	Instruction	16
456.5	0	Correct_f	16
460.5	0.5	Fdbck_corr	16
463.5	0.5	Instruction	14
465.7	0	Correct_f	14
467.5	0.5	Fdbck_corr	14
232	7	Change_rule	0
151	10	Baseline	0
329	11	Baseline	0
469	12	Baseline	0
