onset	duration	trial_type	stimulus_type
9	0.5	Instruction	7
12	0	Error	7
16	0.5	Instruction	11
19.9	0	Error	11
24	0.5	Instruction	15
27.8	0	Correct	15
31	0.5	Instruction	12
33.5	0	Error	12
35	0.5	Instruction	13
38.8	0	Correct	13
42	0.5	Instruction	5
44.8	0	Correct	5
48	0.5	Instruction	4
50.8	0	Correct	4
55	0.5	Instruction	1
57.1	0	Correct	1
61	0.5	Instruction	2
63.8	0	Correct	2
68	0.5	Instruction	3
70	0	Correct	3
72	0.5	Instruction	14
74.9	0	Error	14
77	0.5	Instruction	16
79.9	0	Correct	16
82	0.5	Instruction	10
84.8	0	Correct	10
89	0.5	Instruction	8
91.5	0	Correct	8
93	0.5	Instruction	9
95.9	0	Correct	9
100	0.5	Instruction	6
102.8	0	Error	6
107	0.5	Instruction	11
109.2	0	Correct	11
121	0.5	Instruction	1
123.8	0	Correct	1
128	0.5	Instruction	10
130.8	0	Correct	10
133	0.5	Instruction	8
136.8	0	Correct	8
139	0.5	Instruction	14
142.8	0	Correct	14
147	0.5	Instruction	3
149.9	0	Correct	3
153	0.5	Instruction	13
155.1	0	Correct	13
159	0.5	Instruction	16
160.9	0	Correct	16
171	0.5	Instruction	2
172.3	0	Error	2
178	0.5	Instruction	9
179.9	0	Correct	9
182	0.5	Instruction	5
185.8	0	Correct	5
190	0.5	Instruction	12
193.8	0	Correct	12
196	0.5	Instruction	4
199.8	0	Correct	4
203	0.5	Instruction	7
205.9	0	Correct	7
210	0.5	Instruction	6
212.5	0	Error	6
216	0.5	Instruction	15
218.6	0	Error	15
232	0.5	Instruction	8
234.2	0	Error	8
238	0.5	Instruction	15
240.7	0	Error	15
242	0.5	Instruction	10
244.9	0	Error	10
246	0.5	Instruction	5
248.3	0	Error	5
250	0.5	Instruction	6
253.9	0	Correct	6
257	0.5	Instruction	14
260.8	0	Correct	14
263	0.5	Instruction	9
266.8	0	Correct	9
270	0.5	Instruction	13
273.3	0	Correct	13
276	0.5	Instruction	4
279.2	0	Correct	4
282	0.5	Instruction	1
285.4	0	Correct	1
289	0.5	Instruction	16
291.1	0	Correct	16
294	0.5	Instruction	12
297.8	0	Correct	12
302	0.5	Instruction	3
304.9	0	Correct	3
309	0.5	Instruction	2
312.8	0	Correct	2
315	0.5	Instruction	7
318.1	0	Error	7
320	0.5	Instruction	11
322.6	0	Error	11
163.5	7	Change_rule	0
110.5	10	Baseline	0
220.5	11	Baseline	0
324.5	12	Baseline	0
