onset	duration	trial_type	stimulus_type
9.5	0.5	Instruction	9
12.3	0	Correct_f	9
15.5	0.5	Fdbck_corr	9
17.5	0.5	Instruction	2
19.3	0	Correct_f	2
21.5	0.5	Fdbck_corr	2
25.5	0.5	Instruction	10
27.3	0	Correct_f	10
31.5	0.5	Fdbck_corr	10
33.5	0.5	Instruction	5
35.3	0	Correct_f	5
38.5	0.5	Fdbck_corr	5
42.5	0.5	Instruction	15
44.4	0	Correct_f	15
48.5	0.5	Fdbck_corr	15
50.5	0.5	Instruction	14
52.3	0	Correct_f	14
55.5	0.5	Fdbck_corr	14
57.5	0.5	Instruction	4
60.4	0	Correct_f	4
64.5	0.5	Fdbck_corr	4
68.5	0.5	Instruction	1
71.3	0	Correct_f	1
73.5	0.5	Fdbck_corr	1
77.5	0.5	Instruction	16
79.9	0	Correct_f	16
81.5	0.5	Fdbck_corr	16
84.5	0.5	Instruction	12
87.3	0	Correct_f	12
91.5	0.5	Fdbck_corr	12
95.5	0.5	Instruction	3
99.3	0	Correct_f	3
102.5	0.5	Fdbck_corr	3
106.5	0.5	Instruction	11
108.5	0	Correct_f	11
110.5	0.5	Fdbck_corr	11
112.5	0.5	Instruction	7
115.3	0	Correct_f	7
117.5	0.5	Fdbck_corr	7
120.5	0.5	Instruction	13
123.3	0	Correct_f	13
127.5	0.5	Fdbck_corr	13
130.5	0.5	Instruction	8
133.4	0	Correct_f	8
136.5	0.5	Fdbck_corr	8
149.5	0.5	Instruction	6
151.5	0	Correct_f	6
154.5	0.5	Fdbck_corr	6
156.5	0.5	Instruction	13
160.3	0	Correct_f	13
164.5	0.5	Fdbck_corr	13
166.5	0.5	Instruction	14
170.3	0	Correct_f	14
174.5	0.5	Fdbck_corr	14
177.5	0.5	Instruction	15
181.4	0	Correct_f	15
183.5	0.5	Fdbck_corr	15
187.5	0.5	Instruction	16
190.4	0	Correct_f	16
192.5	0.5	Fdbck_corr	16
194.5	0.5	Instruction	4
198.3	0	Correct_f	4
200.5	0.5	Fdbck_corr	4
204.5	0.5	Instruction	6
208.3	0	Correct_f	6
210.5	0.5	Fdbck_corr	6
212.5	0.5	Instruction	3
216.3	0	Correct_f	3
219.5	0.5	Fdbck_corr	3
222.5	0.5	Instruction	7
225.3	0	Correct_f	7
228.5	0.5	Fdbck_corr	7
238.5	0.5	Instruction	2
239.3	0	Error_f	2
244.5	0.5	Fdbck_err	2
248.5	0.5	Instruction	5
252.3	0	Correct_f	5
255.5	0.5	Fdbck_corr	5
257.5	0.5	Instruction	12
259.9	0	Correct_f	12
262.5	0.5	Fdbck_corr	12
264.5	0.5	Instruction	9
266.5	0	Correct_f	9
268.5	0.5	Fdbck_corr	9
271.5	0.5	Instruction	1
273.3	0	Correct_f	1
275.5	0.5	Fdbck_corr	1
278.5	0.5	Instruction	8
281.3	0	Correct_f	8
285.5	0.5	Fdbck_corr	8
289.5	0.5	Instruction	10
293.3	0	Correct_f	10
296.5	0.5	Fdbck_corr	10
299.5	0.5	Instruction	11
302.4	0	Correct_f	11
306.5	0.5	Fdbck_corr	11
319.5	0.5	Instruction	1
321.7	0	Error_f	1
323.5	0.5	Fdbck_err	1
327.5	0.5	Instruction	10
330.3	0	Correct_f	10
334.5	0.5	Fdbck_corr	10
338.5	0.5	Instruction	6
342.3	0	Correct_f	6
346.5	0.5	Fdbck_corr	6
349.5	0.5	Instruction	7
352.3	0	Correct_f	7
355.5	0.5	Fdbck_corr	7
358.5	0.5	Instruction	9
362.3	0	Correct_f	9
366.5	0.5	Fdbck_corr	9
369.5	0.5	Instruction	3
373.3	0	Correct_f	3
375.5	0.5	Fdbck_corr	3
377.5	0.5	Instruction	13
379.8	0	Correct_f	13
382.5	0.5	Fdbck_corr	13
386.5	0.5	Instruction	2
388.4	0	Correct_f	2
391.5	0.5	Fdbck_corr	2
393.5	0.5	Instruction	16
395.5	0	Correct_f	16
398.5	0.5	Fdbck_corr	16
402.5	0.5	Instruction	11
405.3	0	Correct_f	11
409.5	0.5	Fdbck_corr	11
412.5	0.5	Instruction	4
416.4	0	Correct_f	4
420.5	0.5	Fdbck_corr	4
424.5	0.5	Instruction	15
427	0	Correct_f	15
430.5	0.5	Fdbck_corr	15
434.5	0.5	Instruction	14
438.3	0	Correct_f	14
442.5	0.5	Fdbck_corr	14
444.5	0.5	Instruction	12
448.4	0	Correct_f	12
451.5	0.5	Fdbck_corr	12
453.5	0.5	Instruction	8
456.4	0	Correct_f	8
458.5	0.5	Fdbck_corr	8
461.5	0.5	Instruction	5
464.4	0	Correct_f	5
466.5	0.5	Fdbck_corr	5
231	7	Change_rule	0
138	11	Baseline	0
309	10	Baseline	0
469	12	Baseline	0
