onset	duration	trial_type	stimulus_type
9.5	0.5	Instruction	5
13.4	0	Correct_f	5
15.5	0.5	Fdbck_corr	5
19.5	0.5	Instruction	10
22.4	0	Error_f	10
26.5	0.5	Fdbck_err	10
28.5	0.5	Instruction	6
32.4	0	Error_f	6
34.5	0.5	Fdbck_err	6
36.5	0.5	Instruction	15
39.5	0	Correct_f	15
42.5	0.5	Fdbck_corr	15
46.5	0.5	Instruction	8
49.5	0	Correct_f	8
53.5	0.5	Fdbck_corr	8
57.5	0.5	Instruction	3
59.6	0	Correct_f	3
61.5	0.5	Fdbck_corr	3
64.5	0.5	Instruction	16
68.5	0	Correct_f	16
70.5	0.5	Fdbck_corr	16
73.5	0.5	Instruction	4
77.4	0	Correct_f	4
79.5	0.5	Fdbck_corr	4
81.5	0.5	Instruction	12
84.6	0	Correct_f	12
88.5	0.5	Fdbck_corr	12
91.5	0.5	Instruction	1
94.4	0	Correct_f	1
97.5	0.5	Fdbck_corr	1
101.5	0.5	Instruction	7
103.8	0	Correct_f	7
106.5	0.5	Fdbck_corr	7
109.5	0.5	Instruction	13
113.3	0	Error_f	13
116.5	0.5	Fdbck_err	13
118.5	0.5	Instruction	2
121.1	0	Error_f	2
124.5	0.5	Fdbck_err	2
127.5	0.5	Instruction	9
129.9	0	Correct_f	9
131.5	0.5	Fdbck_corr	9
135.5	0.5	Instruction	11
139.4	0	Correct_f	11
141.5	0.5	Fdbck_corr	11
143.5	0.5	Instruction	14
146.9	0	Error_f	14
149.5	0.5	Fdbck_err	14
162.5	0.5	Instruction	7
166.4	0	Correct_f	7
169.5	0.5	Fdbck_corr	7
171.5	0.5	Instruction	4
174.3	0	Correct_f	4
178.5	0.5	Fdbck_corr	4
181.5	0.5	Instruction	16
184.5	0	Error_f	16
186.5	0.5	Fdbck_err	16
189.5	0.5	Instruction	10
192	0	Correct_f	10
194.5	0.5	Fdbck_corr	10
197.5	0.5	Instruction	5
201.3	0	Correct_f	5
205.5	0.5	Fdbck_corr	5
207.5	0.5	Instruction	11
211.4	0	Correct_f	11
215.5	0.5	Fdbck_corr	11
217.5	0.5	Instruction	9
220.9	0	Correct_f	9
222.5	0.5	Fdbck_corr	9
226.5	0.5	Instruction	6
230.4	0	Correct_f	6
233.5	0.5	Fdbck_corr	6
243.5	0.5	Instruction	1
247.3	0	Error_f	1
250.5	0.5	Fdbck_err	1
252.5	0.5	Instruction	14
255.5	0	Error_f	14
258.5	0.5	Fdbck_err	14
260.5	0.5	Instruction	8
262.6	0	Correct_f	8
266.5	0.5	Fdbck_corr	8
269.5	0.5	Instruction	13
271.6	0	Correct_f	13
274.5	0.5	Fdbck_corr	13
276.5	0.5	Instruction	2
278.5	0	Correct_f	2
280.5	0.5	Fdbck_corr	2
284.5	0.5	Instruction	3
287.9	0	Error_f	3
290.5	0.5	Fdbck_err	3
292.5	0.5	Instruction	12
295.4	0	Error_f	12
298.5	0.5	Fdbck_err	12
312.5	0.5	Instruction	15
315.5	0	Correct_f	15
318.5	0.5	Fdbck_corr	15
321.5	0.5	Instruction	14
323.7	0	Correct_f	14
327.5	0.5	Fdbck_corr	14
331.5	0.5	Instruction	12
334	0	Error_f	12
336.5	0.5	Fdbck_err	12
339.5	0.5	Instruction	10
342.1	0	Error_f	10
343.5	0.5	Fdbck_err	10
345.5	0.5	Instruction	7
349.4	0	Correct_f	7
353.5	0.5	Fdbck_corr	7
356.5	0.5	Instruction	4
360.4	0	Correct_f	4
363.5	0.5	Fdbck_corr	4
365.6	0.5	Instruction	16
368.4	0	Correct_f	16
370.6	0.5	Fdbck_corr	16
374.6	0.5	Instruction	8
378.3	0	Correct_f	8
382.6	0.5	Fdbck_corr	8
386.6	0.5	Instruction	11
389.5	0	Correct_f	11
392.6	0.5	Fdbck_corr	11
396.6	0.5	Instruction	6
399.4	0	Correct_f	6
401.6	0.5	Fdbck_corr	6
404.6	0.5	Instruction	13
406.6	0	Error_f	13
410.6	0.5	Fdbck_err	13
414.6	0.5	Instruction	3
418.4	0	Correct_f	3
421.6	0.5	Fdbck_corr	3
425.6	0.5	Instruction	5
427.4	0	Correct_f	5
431.6	0.5	Fdbck_corr	5
434.6	0.5	Instruction	2
437.3	0	Correct_f	2
439.6	0.5	Fdbck_corr	2
443.6	0.5	Instruction	1
445.5	0	Correct_f	1
449.6	0.5	Fdbck_corr	1
453.6	0.5	Instruction	9
456.3	0	Correct_f	9
458.6	0.5	Fdbck_corr	9
461.6	0.5	Instruction	15
464.4	0	Correct_f	15
467.6	0.5	Fdbck_corr	15
236	7	Change_rule	0
151	11	Baseline	0
300	12	Baseline	0
471.1	10	Baseline	0
